Dates,RKOSPI,RLotte,RManho,RMeritz,RSamsung,RSamyoung,RF_M,RFGN_REV,RIPD,RCPI,RSP500,ROil,Rshanghai,KOSPI,Lotte,Manho,Meritz,Samsung,Samyoung,rf,FGN_REV,IPD,CPI,SP500,Oil,Shanghai
2006-08-31,,,,,,,,,,,,,,1352.74,13005.46,1654.36,139.24,24755.18,207.9,4.41,226618.548,72.4,80.8,1303.82,66.39,1658.638
2006-09-29,1.371 ,0.234 ,-1.987 ,1.617 ,2.131 ,8.246 ,0.373 ,0.528 ,2.051 ,0.284 ,2.427 ,-12.669 ,5.500 ,1371.41,13035.94,1621.81,141.51,25288.37,225.77,4.47,227819.163,73.9,81.03,1335.85,58.49,1752.424
2006-10-31,-0.501 ,-7.693 ,6.069 ,-1.912 ,-8.319 ,-1.365 ,0.373 ,0.345 ,3.196 ,-0.482 ,3.102 ,-5.826 ,4.767 ,1364.55,12070.69,1723.29,138.83,23269.87,222.71,4.48,228605.627,76.3,80.64,1377.94,55.18,1837.993
2006-11-30,4.839 ,-3.687 ,20.972 ,24.369 ,4.324 ,-4.219 ,0.373 ,2.199 ,-1.187 ,-0.485 ,1.633 ,16.517 ,13.292 ,1432.21,11633.79,2125.39,177.14,24298.16,213.51,4.47,233687.776,75.4,80.25,1400.63,65.09,2099.289
2006-12-29,0.157 ,20.277 ,-14.206 ,3.205 ,-3.184 ,-5.656 ,0.374 ,1.991 ,-3.784 ,0.286 ,1.254 ,-10.657 ,24.253 ,1434.46,14248.96,1843.92,182.91,23536.78,201.77,4.49,238387.872,72.6,80.48,1418.3,58.51,2675.474
2007-01-31,-5.313 ,-2.312 ,2.765 ,-19.317 ,-5.706 ,-7.085 ,0.386 ,0.553 ,0.686 ,0.199 ,1.396 ,-2.055 ,4.060 ,1360.23,13923.27,1895.62,150.78,22231.31,187.97,4.63,239709.073,73.1,80.64,1438.24,57.32,2786.335
2007-02-28,4.113 ,-6.337 ,-0.608 ,10.862 ,-2.094 ,6.832 ,0.383 ,1.069 ,1.628 ,0.680 ,-2.209 ,3.041 ,3.344 ,1417.34,13068.34,1884.13,168.08,21770.56,201.26,4.59,242284.509,74.3,81.19,1406.82,59.09,2881.073
2007-03-30,2.454 ,-6.683 ,17.313 ,-1.119 ,-0.708 ,-3.093 ,0.383 ,0.453 ,-1.083 ,0.577 ,0.993 ,15.533 ,9.997 ,1452.55,12223.57,2240.28,166.21,21616.98,195.13,4.59,243385.578,73.5,81.66,1420.86,69.02,3183.983
2007-04-30,5.992 ,0.333 ,14.162 ,16.894 ,1.935 ,4.102 ,0.388 ,1.386 ,2.287 ,0.379 ,4.238 ,-2.538 ,18.767 ,1542.24,12264.29,2581.11,196.8,22039.33,203.3,4.66,246781.374,75.2,81.97,1482.37,67.29,3841.272
2007-05-31,9.793 ,-7.763 ,17.013 ,12.260 ,-7.036 ,30.140 ,0.384 ,1.401 ,0.927 ,0.098 ,3.203 ,2.263 ,6.753 ,1700.91,11348.28,3059.8,222.47,20541.89,274.81,4.61,250263.518,75.9,82.05,1530.62,68.83,4109.652
2007-06-29,2.479 ,6.426 ,-5.457 ,14.308 ,5.719 ,9.904 ,0.378 ,-0.016 ,-0.264 ,0.000 ,-1.798 ,6.251 ,-7.290 ,1743.6,12101.44,2897.31,256.69,21750.96,303.42,4.53,250223.42,75.7,82.05,1503.35,73.27,3820.703
2007-07-31,10.326 ,23.235 ,9.057 ,29.391 ,8.140 ,-20.068 ,0.388 ,1.653 ,0.920 ,0.389 ,-3.250 ,6.333 ,15.718 ,1933.27,15266.75,3171.96,344.39,23595.57,248.25,4.66,254394.044,76.4,82.37,1455.27,78.06,4471.031
2007-08-31,-3.154 ,-3.736 ,14.294 ,-13.264 ,-3.818 ,-17.248 ,0.408 ,0.181 ,3.220 ,0.085 ,1.278 ,-5.965 ,15.465 ,1873.24,14706.97,3659.36,301.61,22711.7,208.92,4.9,254854.592,78.9,82.44,1473.99,73.54,5218.824
2007-09-28,3.835 ,-3.450 ,6.546 ,-4.652 ,-2.745 ,0.972 ,0.414 ,0.779 ,-0.636 ,0.581 ,3.517 ,10.974 ,6.194 ,1946.48,14208.25,3906.92,287.9,22096.82,210.96,4.97,256848.265,78.4,82.92,1526.75,82.07,5552.301
